,id,order_number,question,label_1,label_2,label_predict
474,475,10513820170921163821,17356714970预占的号码在异常监控释放后是靓号预占状态，为什么会做这样的限制，还需要IT手工释放,,,受理报错
475,476,10514020170920100726,权限申请（等着用），已在贵部门190多个小时了，并电话QQ催促，还没有流转，请及时处理。,,,工号权限/密码
476,477,10515420171025155656,18098531339改套餐进入集团4G 提示如图错误,,,受理报错
477,478,10516720171027110246,ICTA34040217100008项目立项结束  但是项目状态在审批中  什么情况 ,,,固定资产支撑
478,479,10519020171017114746,网发平台项目名称更改申请 安庆市潜山县发起的网发平台项目名称申请更改为：安庆市分公司潜山县普通农村第3批次槎水工业园、长和安置房光网项目。  原建设项目编号为：55603170588 原建设项目名称为：安庆市分公司潜山县普通农村第3批次槎水工业园、余井易地抚贫光网项目,,,固定资产支撑
479,480,10522320171025150714,341222199609011818，这个身份证办的预配卡。一激活成功后。在一个王*良名称下，客户编码是256005241723,,,订单待峻工
480,481,10528720170930194725,255587452订单号一直处于开通中，等着改套餐麻烦催下,,,订单卡单
481,482,10528720171006103110,256181501 麻烦报竣,,,订单卡单
482,483,10528720171013160633,"18905694398,169改199不限量  出现这个提示，麻烦处理",,,改签不限量套餐
483,484,10528720171014111945,订单号257064091 麻烦报竣,,,订单卡单
484,485,10528720171017104930,257385086  工单异常 麻烦查看处理,,,受理报错
485,486,10528720171019144613,257161431  麻烦撤单,,,订单删单/撤单
486,487,11539920170930170616,15391929799此号码昨天升级199省内不限量套餐，用户18955693288此号码做副卡并不到199不限量套餐中，请帮忙看下怎么处理？ ,,,改签不限量套餐
487,488,11544920170908180853,集团支付号码 JTZF556120206  每个月系统收取支付费用655元  在CRM查询支付群员总费用494元  还有一个支付159元的支付号码没有查到是怎么回事？麻烦帮查看下系统怎么回事！！急！！谢谢！！,,,电子流与易支撑重复派单
488,489,11547120171001135303,17356528547号码9月份更改套餐，10月1日CRM查询主套餐和所加的可选包校内不限量流量包都已经生效但是套餐使用信息里面查不多主套餐所带的内容，也没有可选包流量，用户无法使用。烦请业管帮忙处理，谢谢！,,,流量费用争议
489,490,11564820170929160333,维护项目审核人员调整,,,固定资产支撑
490,491,11569320171020171111,合肥合肥.肥西.网络部潘华20171020-000115资产报废 合肥合肥.肥西.网络部潘华20171020-000116资产报废 卡片预报废不了，麻烦处理下,,,固定资产支撑
491,492,11572420171020151805,256968908订单号，13号输单子家庭云一直未竣工，什么原因？麻烦处理下  ,,,订单卡单
492,493,11577420171012082143,策略平台，工作如果变动，之前的活动，只能之前的人员工号才能看到，请问下，有没有解决办法？不然老是这样，很麻烦。,,,工号权限/密码
493,494,11577420171012164059,115774，我的工号没有业务类型优先级管理的权限，麻烦帮忙开通，感谢。,,,工号权限/密码
494,495,11578520171016094847,17756519997  号码前期已注册抢钱宝，现号码过户，现过户后实际使用人要求修改抢钱宝注册信息，麻烦省公司根据过户后用户信息修改下抢钱宝注册信息。谢谢！,,,过户不成功
495,496,11578520171020164048,抢钱宝兑奖单号188675：终端串号A00000790B6B30 激活号码18196515388，本地核查匹配没有问题，但抢钱宝匹配失败，请省公司协助核查失败原因，兑奖单号截图见附件,,,受理报错
496,497,11581220171017155708,国内差旅(员工个人) 报账预算责任中心没法选择,,,财辅报账支撑
497,498,11581220171018085752,打印手签格式 提示没有需要打印的报账单,,,财辅报账支撑
498,499,11581220171025091256,页面提交错误！ 发送失败：访问ERP[服务确认接口(Sap)]数量和/或“交货结束”指示符或最终发货指示符丢失||数量和/或“交货结束”指示符或最终发货指示符丢失||数量和/或“交货结束”指示符或最终发货指示符丢失||数量和/或“交货结束”指示符或最终发货指示符丢失||数量和/或“交货结束”指示符或最终发货指示符丢失||数量和/或“交货结束”指示符或最终发货指示符丢失||数量和/或“交货结束”指示符或最终发货指示符丢失||数量和/或“交货结束”指示符或最终发货指示符丢失||[查看报文(66748824)],,,受理报错
499,500,11581220171030112519,网络建设平台新来的营业部主任需要申请罚单权限,,,工号权限/密码
500,501,11582920171017100847,新申请的MSS权限，在MSS工辅中发需求单需求管理员里面没有张琼的名字，无法选择。34115829@AH,,,工号权限/密码
501,502,11587720170927162522,15357393939从14年8月欠费开始，到17年8月一直出账，麻烦帮忙查下原因,,,订单卡单
502,503,11588520170928150704,修改报账单金额后提示,,,财辅报账支撑
503,504,11590920170928172908,TYA01211020800011709016004 ，报账单一直在等待扫码状态，无人处理，24号发起的了,,,订单卡单
504,505,11591320170919171118,电路业务已竣工，订单待生效状态，请改为生效 电路号：CIR56433749,,,订单卡单
505,506,11601920171001134730,15395189956用户为99不限流量预配卡，卡内已有200非现金流，另外也充值10元费用，但手机拨打付费电话提示号码欠费，烦请解决,,,订单待峻工
506,507,11602420170913172705,"服保工程挂测的时候手机翼运维收不到挂测工单，光宽平台提示光分器未获取到标准地址，请资源厂家及服务质量的专家查看原因，最近这种情况比较多见，至今未解决,导致无法下派待装！",,,工程类项目支撑
507,508,12002120171025120750,宣城分公司区营销服务中心寒亭营业部房租合同报账，因原营部主任岗位调整，现MSS财辅系统无法添加报账人，请省公司帮忙支撑给予添加，合同号：AHXCG1500064AGN00：1、请将该合同报账人添加周莉（15305633377，工号：020745） 2、承办人将张乐征修改为冯余（15305632153，工号：120021），谢谢！,,,工号权限/密码
508,509,12068620171010093202,员工差旅费报账，预算责任中心项目无法选取,,,财辅报账支撑
509,510,12081620171019104447,立项信息无法提交，请处理。项目编码：ICTA34060017100046 ，提交错误提示见附件,,,受理报错
510,511,12607420171009165744,亳州号码18956836486，一直有乡情网应用功能，之前月份一直没有出乡情网使用费，但从9月开始产生乡情网使用费17元，烦请看下是怎么回事，谢谢,,,订单卡单
511,512,12858220171017095950,影像系统中，增值税普票同步的时候，不成功，导致无法发送票据,,,增值发票
512,513,12858220171020152503,影像系统中，有个发票同步的时候，提示查无此票,,,发票打印
513,514,12858520171017154649,规则平台权限被修改，账号128585,,,工号权限/密码
514,515,12858520171020092756,麻烦销工单WHZYJH5561710033289311542,,,电子流与易支撑重复派单
515,516,12859620171023164530,采购辅助系统。签报里不能打开word.出错。  谢东 QQ7373560  在线等。谢谢,,,采购支撑
516,517,12860120171012171520,组卷时显示影像为空，麻烦工程师看下 TYA01211120000131708015003TY1 TYA01211120200021708018004TY1 TYA01211120000151708006003TY1 TYA01211060100081708008003TY0 XHA01211060100081708008002XH0 TYA01211080300061708009002TY0 TYA01211080300061708009003TY0,,,工程类项目支撑
517,518,12860120171017153210,组卷时影像显示为空，麻烦工程师看下TYB01211150000121708015002TY1,,,工程类项目支撑
518,519,12860220171012100755,你好  MSS系统组卷影像为空,,,财辅报账支撑
519,520,12860320170929163335,MSS档案系统凭证无法组卷 错误提示如下：“系统中不存在与该外部系统单号关联的自编凭证。。,,,受理报错
520,521,12860320171012100412,"MSS档案系统凭证无法组卷,提示影像为空",,,财辅报账支撑
521,522,12860320171013110306,MSS档案系统无法组卷，提示影像为空,,,财辅报账支撑
522,523,12962720171016161815,IPTV55120161274976 帮这个返销一下  超过三个月的,,,IPTV退单、删单
523,524,12962720171023171420,因使用了超三个月的工单造成的异常，业管说要请你们重新补充，稽核，稽核序列号为：180271997，177744133，175214993，176480941，171326989，176478945，179701543，177912779，177915545，177909109，177912826，177915686，179902666。已处理 直接回单,,,受理报错
524,525,12967220171010144658,"2419231和IPTV5662016318103加装到不限量套餐17756642911下做可选包，在可选包入口办理，但是一直提示有多个主套餐 ,核查并没有，麻烦处理，谢谢",,,订单卡单
525,526,12967220171013173633,"串号从A库做了批量调拨到B库，提示调拨成功，但是怎么还是在A库呀，是不是还需要做什么,做的批次号是20171013027884  ",,,串码释放
526,527,12967520171012112858,ICT项目立项已完成，但是先需要加大投资，故概算金额需要改变到经过省公司，这种情况怎么办  能否立项撤销重新发起概算立项操作？ ,,,固定资产支撑
527,528,12971120171006092657,110029094 订单服务订单已竣工，订单状态为开通中，请帮处理竣工。,,,无匹配标签
528,529,12971120171019101103,H8515363 工号主数据员工性质是代理商员工，CRM没有同步，请CRM将工号类型改为合作伙伴,,,工号权限/密码
529,530,12971720171005154546,帮忙看下，号码13345677776不限量主套餐，套餐ID：180304034 下面生成了3个A1明细，资料稽核多次稽核处理失效，但前台多次发单修改生效，现用户投诉，请将该套餐明细修改正常！,,,改签不限量套餐
530,531,12974520171009091316,财辅十月账期发起报账提示账期关闭，请帮忙处理,,,财辅报账支撑
531,532,12974520171016093012,原关联交易供应商安通服更新了收款信息，单据发送财辅后变成非关联交易单位了，请帮忙处理 ！ ,,,财辅报账支撑
532,533,12974520171017151253,计划建设系统，工程审核环节的处理人变更怎么申请？ ,,,工程类项目支撑
533,534,12974520171019105804,财辅单据中的影像打不开，请帮忙处理！,,,财辅报账支撑
534,535,12974520171023160020,影像系统，提交异常,,,受理报错
535,536,12978020171009153715,工号129780，在全面预算立项，无法提交 ,,,工号权限/密码
536,537,12978020171016094014,SPCP发送报账单一直没在财辅生成报账单,,,订单卡单
537,538,12979820170928165939,宁国农商行车载流量卡，现在都看不到监控视屏，麻烦看下是不是流量卡出现问题，号码分别是13329295684 18956349402 18956349453 18956349407 18956349406谢谢,,,流量费用争议
538,539,12981020171009162442,麻烦看下是不是末梢系统调用固网稽核数据有失败的，有不少营业部反应固网末梢没有收到出库申请，实际稽核系统已经发起出库,,,受理报错
539,540,12996720170925091810,有一拦截营销学生卡拆机18054083725，但营业员拆不了，提示上图情况，但购物车里没单子，请帮忙处理一下。,,,订单删单/撤单
540,541,12997120171019081947,我的工号冻结了，请解冻，谢谢，工号：129971,,,OCS冷冻期解冻
541,542,13000320171008131751,我是宿松网络部的，手机翼运维的综合查询没有权限，之前全县的号码都能查询资源信息。,,,工号权限/密码
542,543,13021520171027115107,MSS建设计划里,,,财辅报账支撑
543,544,13054120171018092307,财辅年度预算审批结束后依然显示审批中,,,财辅报账支撑
544,545,13377520171021152854,装维退单后工单无法撤单，提示  集中支撑人员不可处理营业厅订单。  使用祁门旗舰店段艳丽工号也是此提示。请协助撤单，以便重新受理。订单编号:55343339,,,订单删单/撤单
545,546,13382220171018101800,KDYX56420161512149单宽签转不限量，因过户操作，在添加了目标客户后仍无法选到优惠100的规则，烦请帮忙处理，谢谢！,,,改签不限量套餐
546,547,13382220171019113834,KDYX56420141380894 该单宽签转不限量199融合套餐，添加了目标客户，还是选不到规则，麻烦帮忙处理,,,改签不限量套餐
547,548,13385020170928083946,116200540 补录人像，是预配卡，出来的经办人图片是制作模版证件人图片，补录无法比对，见附件，如何修改该订单经办人图片啊,,,订单待峻工
548,549,13385720170928103802,18133775158办理129不限量套餐设为副卡，因系统没有配置正常导致10元副卡功能包没我带出，麻烦给处理一下。 ,,,改签不限量套餐
549,550,13386620170926094829,H8151601 工号在4G受理业务读卡提示使用云读头读卡，麻烦服务台帮忙联系集团查询此问题是由哪个权限控制的，本地查询权限和之前的都一样没有单独添加什么权限,,,工号权限/密码
550,551,13386620171009092413,W9004089 工号登录4G系统总提示被锁定，在4G管理平台解锁多次还是不行，麻烦帮忙处理,,,工号权限/密码
551,552,13390820171017172905,帮忙看下这个串号怎么是占用状态，能不能改在用状态,,,串码释放
552,553,13391820171001090757,H8490236 外呼工号解锁,,,工号权限/密码
553,554,13508420170928114317,请问无形资产如何转固,,,固定资产支撑
554,555,13508420170929094431,EVENT_AH_20170929_6222，工程修改SAP状态的，帮忙处理下，谢谢，急,,,工程类项目支撑
555,556,13508420171011085205,工程转固提交是报错，帮忙看下，谢谢,,,受理报错
556,557,13508420171012165954,工程服务确认报错，帮忙处理下,,,受理报错
557,558,13508420171016105340,工程编号：17AH003272001  施工委托没有采购订单附件，帮忙处理下，谢谢,,,采购支撑
558,559,13508420171019155946,网络建设平台与MSS立项项目不一致，申请同步,,,财辅报账支撑
559,560,13508420171023115346,工程设计变更报错，帮忙处理下，谢谢,,,受理报错
560,561,13508420171024105837,工程服务确认冲减报错，帮忙处理下，谢谢,,,受理报错
561,562,13508420171025145607,工程编号：17AH009204001  施工委托没有采购订单附件帮忙处理下，谢谢,,,采购支撑
562,563,13508420171026145146,工程编号：17AH005502001工程订料96芯带状光缆实际已到料，由于供应商送货时采购订单号提供错误，导致所有到料错列其他工程，此工程订料一直未入账，现工程由于订单未收货无法决算帮忙处理下，谢谢,,,订单卡单
563,564,13508420171026150801,报账单号：TYA01211120000181703010005 在途目前处理人看不到单据，帮忙处理下，谢谢,,,财辅报账支撑
564,565,13508420171027085402,工程挂账报错帮忙处理下，谢谢,,,受理报错
565,566,14621120171001120733,串号A000007A89CB94，昨天已派单释放，回复处理好了，但是今天受理还是提示非空闲，有销售部审批要求释放后重新受理，审批见附件，请帮忙处理,,,串码释放
566,567,14621120171011090647,串号：86326503048185，因营业受理错误，绑定是无规则绑定，先申请解绑后做橙分期补贴，附件为销售部领导签字，请帮忙处理.,,,串码释放
567,568,14632420171027104911,各位专家：        我的报账单：TYA01211020000031710001008TY1现无法正常提交，具体问题详见附件图片，请予以支撑，谢谢！,,,财辅报账支撑
568,569,14674820171018082011,包区助手   “双百兆高迁199融合不限量” 派单号码重复，见附件,,,改签不限量套餐
569,570,14674820171019161938,针维平台推送的外呼数据，不按日更新？很多用户已经签转不限量，但是针维平台的派单还在 18055964804  已签转但还在针维平台,,,改签不限量套餐
570,571,14682820171002160808,109896099竣工异常 请帮忙竣工,,,受理报错
571,572,14682820171009082903,110168203竣工中 请帮忙竣工,,,订单卡单
572,573,14682820171012092123,110254575竣工中 请帮忙竣工,,,订单卡单
573,574,14682820171023150547,110610842待发送 已点交费通知 请帮忙竣工,,,订单卡单
574,575,14682820171026081504,110688798待发送 请帮忙竣工,,,订单卡单
575,576,14682820171029091815,110820794开通中 请帮忙竣工,,,无匹配标签
576,577,14682820171029153336,97681824历史单 请将该单改待确认删单,,,订单删单/撤单
577,578,14682820171030144900,110876624竣工异常 请竣工,,,受理报错
578,579,14682820171030150949,用户张余龙18949718080高迁199融合不限量。进4g提示有在途单 订单号:97681824，但是该17755017392已拆机 ，请帮忙处理,,,订单卡单
579,580,14683620171016095526,MSS门户页面显示有问题，麻烦远程处理下,,,财辅报账支撑
580,581,14683620171023154828,淮南扫描影像系统总是上传失败，麻烦处理下，谢谢,,,受理报错
581,582,14686320171018100844,1、刘龙龙 工号：L7514937 对应包区：泉北-北京西路海泉包区； 2、刘杰 工号：L7441490 对应包区：泉北－新河集包区； 3、彭学军 工号:H8517151 对应包区：泉北－白庙包区 4、刘陆军 工号：W0130319 对应包区：泉北－中市办包区； 5、刘祥祥 工号：L7514938 对应包区：泉北－柳荫路包区； 6、李锰 工号：W9002072 对应包区：泉北-商贸城包区 7、赵超 工号：W9002064 对应包区：泉北－界首路包区  8、张成才 工号：W1563489 对应包区：泉北-北,,,工号权限/密码
582,583,14689220171031104457,转固咨询，使用单位出错 ,,,固定资产支撑
583,584,14689220171031152846,存在成本中心为空或已禁用或成本中心不属于使用单位的资产！,,,固定资产支撑
584,585,14690720171031165845,汤总，不好意思，还是池州校园部许晶晶，JTZF566112192这个集团支付组每月出账也没有优惠，每月出账245元，麻烦看下是否也是账目类型的问题,,,电子流与易支撑重复派单
585,586,14692520171016114141,8399567缴费后开具不了增值税发票，麻烦业管师傅帮忙看下，比较急今天就要送到海螺去了，他们财务部长马上休年假 感谢！,,,发票打印
586,587,14697720171013153041,采购流程不知道如何提交,,,采购支撑
587,588,14697720171027173819,合同走完后，没有关联到财辅系统,,,财辅报账支撑
588,589,14697720171030143129,合同没有关联财辅报账，请专家帮忙看下,,,财辅报账支撑
589,590,14697820171009160852,麻烦帮我同事配置一下权限     工号094243,,,工号权限/密码
590,591,14699220170919104506,工号：34146992@AH 职位:望江县公司财务管理 问题反映:目前财务辅助系统里面有100+银行余额调节表电子流程提交不了。 请问能否给消除掉，这玩意太麻烦了。 之前也联系过支撑，感觉无法处理，就是个鸡肋。,,,工号权限/密码
591,592,14699220171013082842,工号34146992@AH发起税费支付报账时提示“单据不存在不能打印”，请支撑查看一下 谢谢,,,工号权限/密码
592,593,14699220171030113213,SAP密码重置工单。,,,工号权限/密码
593,594,14760020171009163633,组卷报账单号显示影像为空,,,财辅报账支撑
594,595,15797820171026102417,临时身份证目前人像采集提示无法识别到照片，导致不能办理，目前是否有解决办法？,,,人像采集报错
595,596,15803420170927085640,W0410018工号请解锁和重置密码,,,工号权限/密码
596,597,15803420171023144433,W1447573、W1506758、W0447604三个工号请解锁并重置密码为感。,,,工号权限/密码
597,598,15803420171027085139,1.H8518446  这个工号登录不上。2.有两个工号需要加工单派协议权限 比照99601278开通， H8515892 和H8518433需要开通 ,,,工号权限/密码
598,599,3414694520171016114634,工号34146945挂职在合肥工程中心，原来账号还有工程中心权限，今天发现没有了。请处理,,,工号权限/密码
599,600,3414694520171018114145,17AH010575001 因受阻需终止项目，但是AHDD201708040511、AHDD201708070563，订单已红冲费用，在MSS采购里查到订单后，没有作废按钮，烦请专家协处,,,财辅报账支撑
600,601,3414694520171020092757,工程编号：17AH015914001_8（三天出待）庐阳区上城国际新界大润发超市肯德基用户FTTH光缆工程（工程局）这个工程服保一直是挂测状态，很久了，收不到挂册单，烦请处理一下,,,订单卡单
601,602,3414694520171023101733,34146945  请同步立项管理员权限和主项管理员权限,,,工号权限/密码
602,603,3414694520171024101611,工程编号：17AH015922001_1收不到挂测工单，光宽平台重启挂测提示有在途单，无法重启，烦请处理下,,,订单卡单
603,604,3414694520171025163547,17AH015914001_6庐阳区合肥市排水管理办公室设备光缆工程（工程局）（政企） 此子编号不做了，麻烦删除此子编号，谢谢,,,订单删单/撤单
604,605,3414694520171025163601,16AH018637001   麻烦退回SAP资产信息 需要删除预转固,,,订单删单/撤单
605,606,3483017320170929162558,需预打发票，请转范助文师傅处理数据，预打增值税专用账期2016年9月～2017年8月，感谢！！！,,,发票打印
606,607,7101091320171013161406,256870142 订单一直处于开通中，请厂家协助处理。,,,订单卡单
607,608,7101091320171020165909,257755256 开通中，待发送。,,,订单卡单
608,609,7101091320171024135758,新站楼宇客户经理更换工号  顾巍（旧工号：L7460116；新工号：W0201019） 请给新工号添加MSS合同权限。,,,工号权限/密码
609,610,7101091320171027145441,258481537 工单异常，其他异常:重复的附属产品：35327061000000000000,,,受理报错
610,611,7101091820171011105905,BMP-资料稽核 > 产品类 > 普通串码释放  释放串号时报错。例如串号A000006AA5EC43、A0000078FDCA25,,,受理报错
611,612,7103396620171010115031,如果给新的工位增加MSS建设、MSS运维、MSS库存的权限,,,工号权限/密码
612,613,7103397020171020092727,李工，请问这个工程之前MSS需求清单里是可以看到直接关联的，现在看不到了，是不是MSS里会定期清理长时间未关联的需求啊,,,财辅报账支撑
613,614,7103397020171020093339,请问下MSS-计划建设里之前发的网发平台项目在MSS里导入过需求，这个项目因份额原因前期没同意立项，现在可以立项却在MSS计划项目编号找不到工程了，不知道是啥原因,,,财辅报账支撑
614,615,7103397120170927120255,号码13305695689换4G卡无法开通4G 功能，报错【保留销售品[协议方案_测试卡套餐_200903]在【不允许开通4G功能产品销售品组】中，请先退订销售品，再办理开通4G功能产品业务.】,,,受理报错
615,616,7103397120171012083122,用户66671206   于10月09号在自助缴费机刷卡缴费423元，最后一步缴费机白屏，用户银行账户提示扣款成功，现用户去本人银行查询到该笔费用已经打入电信账户，但是前台系统没有查到该笔缴费记录，请问哪里可以查询到这笔费用现在在哪里？,,,无匹配标签
616,617,7103397120171016174225,18158862686在4G门户退订一卡双号报错：错误编码【080015】省份异常：【transactionID=1000000200201710161503005106】【省份错误】省份上传的第18个prodOfferInst对象中存在多个相同的集团销售品实例【id=993000150125855063】!【transactionID=1000000200201710161503005106】【省份错误】省份上传的第18个prodOfferInst对象中存在多个相同的集团销售品实例【id=9930001,,,受理报错
617,618,7103397820171014143514,号码63632750已实名，但是移机提示报错,,,受理报错
618,619,7103397820171017155039,订单号255743114预配卡待竣工,,,订单待峻工
619,620,7103397820171029090626,551404275687订单流程异常,,,订单卡单
620,621,7103397820171031110352,订单号：258885793待发送，小前台开通中,,,订单卡单
621,622,7103398120171011153606,TYA01211040000151710003006提交报错,,,受理报错
622,623,7103398120171019103826,工号860259，老财务辅助无法登陆，烦请帮忙查看,,,工号权限/密码
623,624,7103398120171019114548,方师，你好，我昨天在财辅里取已生成SAP、时间是2015-2017年9月、集中支付、报账金额为1万元上的报账单大约2万4千条，一直没有生成清单导出，能麻烦你帮我取下这个清单吗？,,,订单卡单
624,625,7103398120171023141628,分公司采购部主任更换，由880218更换为820202，请问如何在财辅更换相应的审批流程,,,财辅报账支撑
625,626,7103398120171024155931,个人更换电费报账模块权限，如何操作？烦请指导,,,工号权限/密码
626,627,7103398120171027155244,报账人选不到税费支付项目,,,财辅报账支撑
627,628,7103398120171030143151,请问，增加财辅报账平台，税费管理的权限，应该走什么单子？,,,工号权限/密码
628,629,7103403120170929160533,？财辅报账平台在选成本中心的时候，通过查询后弹出来的成本中心选择不了，请处理解决。 ,,,财辅报账支撑
629,630,7103405020171020180103,报账单TYA01211160000141710009002 无法选择供应商，G000138282 铜陵市博视安防科技有限公司,,,财辅报账支撑
630,631,7103405520171025093023,在统计迁转不限量套餐发展量时有部分发展人值为-1，如17705629296、17705623651，但CRM有发展人信息，客户经理反映影响考核，请予以解决。,,,改签不限量套餐
631,632,7103405620170930151341,请问一下项目总是在自动转固并归档，总是不结束是因为什么？16AH022734001 ,,,固定资产支撑
632,633,7103405620171016143806,请问一下立项的工程名称错了，能不能发单子修改？,,,工程类项目支撑
633,634,7103405620171023155105,请问一下资产总额与表1不一致，是因为什么？ ,,,固定资产支撑
634,635,7103405620171025171700,请问一下提交时，显示财务锁定项目是因为什么？17AH002653001,,,固定资产支撑
635,636,7103405620171027092121,请问一下网建平台规划站点导不进去，也不提示错误是因为什么？ ,,,受理报错
636,637,7103420020171011152903,专家你好，工程转固时候，转固的设备不需要录入资源的怎么填啊。 ,,,固定资产支撑
637,638,7103420020171016083653,你好  可以帮忙看下为什么预转固提交不了吗 ,,,固定资产支撑
638,639,7103420020171024092250,你好  已立项项目 可以取消吗 。项目立项时候没有充分讨论。 ,,,固定资产支撑
639,640,7103421720171011181146,在MSS财申报4季度活动预算。提交时，系统自动提交，未让选择下一步处理人。在申报流转中查不到所在流程,,,财辅报账支撑
640,641,7103424320170929150858,MSS报账系统，查询分析，综合查询，查询单据点导出后无反应，等了半个小时都没动静，着急提取数据，盼支撑,,,财辅报账支撑
641,642,7103424320171016091556,人力资源部终止了一个报账单，但是预算没有自动释放，请帮忙处理一下，感谢,,,串码释放
642,643,7103424320171019111452,渠道与公客部调整年度，审批后无流程，请帮忙处理，感谢,,,订单卡单
643,644,7103424320171020170243,预算系统，工号890230下一直有个待办，提交不了，退回不了，请帮忙处理，谢谢,,,订单卡单
644,645,7103424320171024083802,crm的合作伙伴子系统，财务报账报表，倒数第三列手工调整那栏，每月都有调整，为何为空,,,财辅报账支撑
645,646,7103424320171024174217,怀宁网络部加预算卡单，麻烦处理,,,订单卡单
646,647,7103473720171017105656,工号W9001899报账时记账成本中心需选到徽州区城区城市营业部,,,工号权限/密码
647,648,7103498920170929102837,A000006D4A1D03 申请把串码解绑,,,串码释放
648,649,7103498920171005090849,18010897839是199不限量套餐，营业受理错误退订了可选包_省内不限量赠送包_201707，麻烦把可选包_省内不限量赠送包_201707，请帮忙生效该套餐：132918035,,,改签不限量套餐
649,650,7103498920171006112738,17755583464过户到18156558120提示，客户下3个手机号码，过户怎么就提示超过阀值，麻烦看下,,,过户不成功
650,651,7103514720170926083058,商客包区工号调整问题，部分包区为老包区合并而成，申请调整,,,客户编码合并
651,652,7103514720171020092610,小前台工号：H8508916，网点名称：滁州市城东袁凯旋四级厅 业管中心通知门店都要用内网地址登录小前台，门店基本使用的是VPN上网，出现了弹窗空白的现象，非VPN直接用OA外网网址登录时正常显示，请支撑下如何解决 ,,,工号权限/密码
652,653,7103514720171020093800,小前台工号：H8508916，网点名称：滁州市城东袁凯旋四级厅 业管中心通知门店都要用内网地址登录小前台，门店基本使用的是VPN上网，出现了弹窗空白的现象，非VPN直接用OA外网网址登录时正常显示，请支撑下如何解决 ,,,工号权限/密码
653,654,7103514720171024111349,凤阳小溪河营业部江山五级包区，曹金龙 W1570779工号 9月申请的包区助手，没有营销、障碍单之类的数据，之前包区责任人工号是宫业好068550，请核实下是不是还在老工号里，如果是，请调给曹金龙,,,工号权限/密码
654,655,7103519020171006190609,套餐id：59028841，在bmp中查不到，麻烦修改失效时间至2066.9.30失效，本地有倒三角需求2017100316424226818,,,套餐后台修改
655,656,7103519020171009100256,号码：18956600201，主套餐为省内199不限量套餐，有规则：购机送等额翼支付费用_乐享4G合约标准版_201611，看这个翼支付的销售品描述（见附件），如果是不限量套餐，应该返20才对，但是实际上这个返了85，还有很多别的号码返的金额也各不一样，请问这个返还的金额到底是跟什么有关,,,改签不限量套餐
656,657,7103519020171021154132,销售品：可选包_省内不限量0元_201707，跟主套餐：乐享4G201407 299元-主套餐，经查询关联关系正常，但是对号码：18005669163（主套餐为乐享4G201407 299元-主套餐）做套餐变更，选不到这个可选包，业务组已添加，如果需要测试工号，请用：71035190，登录时私聊我要下密码，麻烦查下为什么选不到,,,改签不限量套餐
657,658,7103519020171030112829,无纸化升级之后，打印出现报错如下，重新装过无纸化还是不行，但是能正常打印其他文件，请看下是为什么,,,人像采集报错
658,659,7103520820171016082106,SAP密码错误,,,工号权限/密码
659,660,7103521220170928165017,"号码15385057723办理拆机时提示 错误编码【020029】集团营业受理后台异常：订单提交出错_当前证号关系与一证五号系统中证号关系不一致，当前证号为[341124197002200434:15385057723],一五返回证件为：341124198506160223_规则运行异常,客户订单标识OLID(150076360753),受理流水SONBR(1506588466832972)! 当前证号关系与一证五号系统中证号关系不一致，当前证号为[341124197002200434:153850577",,,订单卡单
660,661,7103521220170930100619,号码18098322111原一体化159用户高签199不限量，系统提示只能订购价值量大于289元的主套餐，营业准备换普通号，但普通号18010973267换号时也提示只能订购价值量大于289元的主套餐。麻烦支撑帮忙查看，谢谢！,,,改签不限量套餐
661,662,7103528320171010161318,六安客户支撑中心 员工（徐志伟 工号：105015）报差旅费时，无法选择预算责任中心，请支撑帮忙处理。,,,工号权限/密码
662,663,7103530220171009175454,维护项目在待关闭状态，无法关闭，麻烦帮看下原因  171AAHLA0009-001  161AAHLA0589-001,,,固定资产支撑
663,664,7103530420171018105244,借款报账单号：JKA01211180004011709000002 ，现在报账单TYA01211180004011710003002挑对借款记录，无法查询到借款记录，不能挑对，请求支撑解决。,,,财辅报账支撑
664,665,7103530420171021105158,TYA01211180004011710005005  报账单已经提交 无法打印手签格式,,,财辅报账支撑
665,666,7103530420171023160326,TYA01211180004011710007003报账单提交后 无法打印手签格式,,,财辅报账支撑
666,667,7103545120171010091536,资产管理系统密码忘了,,,工号权限/密码
667,668,7103545120171010160349,资金管控密码重置,,,工号权限/密码
668,669,7103604120171012100545,新开工号H8507844能否比照工号104956开下权限 同时71036041（张适然）开通系统管理员权限 多谢,,,工号权限/密码
669,670,7103710020171009094733,MSS采购辅助采购结果编制物料编码只有一项，不能增加,,,财辅报账支撑
670,671,7103710020171018114933,采购方案明细能否修改,,,采购支撑
671,672,7103710020171027113514,项目采购结果  成本预算占错了  怎么解决,,,固定资产支撑
672,673,7103710020171030111823,采购结果是物资及服务，如何分开走合同？,,,采购支撑
673,674,7103925820170927183039,"客户号码17355105880
办的是199省内不限量，苹果8存2得8，在最后订单确认的时候提示没有权限。工号H8509373",,,改签不限量套餐
674,675,7103943720170928173338,18133328983 改199不限量提示,,,改签不限量套餐
675,676,7104091720171009152545,省MSS支撑，我的OA能进行上网认证，但是登录不进去，看不到公文等信息。现请求帮助，不甚感激！,,,财辅报账支撑
676,677,7104240520171017100819,订单230929442 ，预登陆激活失败，预登陆激活订单号257318519，烦请省公司将18956098210号码报竣,,,订单卡单
